ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
131,"上城丁桥丁群路,近勤丰路中豪四季公馆",120.2326793171965,30.35344642826902,26193,230,87.81,3,6,南,10.0
132,西湖古墩路萍水西街193号耀江文鼎苑,120.09022400640788,30.30020771174179,55296,485,87.71,2,5,南,14.0
133,临平临平迎宾路华元欢乐城(公寓住宅),120.29602080364289,30.39833143114313,21511,186,86.47,3,6,南,9.0
134,滨江钱江湾东信大道99号钱江湾花园,120.12808977530669,30.180360427634124,31661,388,122.55,3,6,南,21.0
135,"拱墅拱宸桥永庆路,近上塘路蚕花园永庆坊",120.13930162584263,30.33110487249812,18812,175,93.03,3,5,南,24.0
136,余杭五常高教路翡翠城(东北区),120.01636868427303,30.248174613385626,25492,228,89.44,3,6,南,24.0
137,临平星桥星桥南路融创融耀之城,120.25825842261501,30.393129419985502,22381,235,105,3,7,南北,1.0
138,余杭良渚运溪路1100号溪谷岚湾(公寓住宅),119.98672456563993,30.347058068177308,17925,175,97.63,3,7,南,3.0
139,拱墅和睦登云路306号勤丰小区,120.11829980153526,30.30844690187355,48717,260,53.37,2,4,南,29.0
140,"上城长睦华鹤街,近临丁路卓越蔚蓝领秀(二期)",120.2377626232835,30.37073319656101,23980,215,89.66,3,7,南,5.0
141,西湖世纪新城高技路51-55号世纪新城,120.10906634134571,30.28579207886789,56426,760,134.69,3,7,南,19.0
142,"余杭闲林高教路,近五常大道翡翠城梧桐郡",120.01237276558689,30.25007996483568,37179,498,133.95,4,8,南,2.0
143,拱墅申花萍水街380号滨江万家花城(一期),120.10906327644233,30.306960243679114,48268,620,128.45,3,7,南,15.0
144,萧山湘湖萧西路605号华瑞湘湖美地,120.23881897675072,30.176477111279222,25112,316,125.84,3,7,南,13.0
145,"临平临平北北沙西路,近荷禹路栢悦中心",120.2790759730959,30.437032932351535,23110,206,89.14,3,7,南,4.0
146,滨江彩虹城西环路33号临江花园(公寓住宅),120.14266855099275,30.187520307505903,33574,340,101.27,3,7,南北,21.0
147,临平崇贤崇杭路上亿中央郡,120.1578083439811,30.383259435792898,19958,178,89.19,3,6,南,8.0
148,"萧山义桥时代大道,近新庙桥金域兰庭",120.18830299400229,30.085000068193438,19891,178,89.49,3,6,南,11.0
149,"西湖转塘横桥路,近博美路绿城之江1号(东区)",120.06854405326266,30.16785905605627,32241,356,110.42,3,7,南,12.0
150,"临平临平北新洲路,近星河路众安理想湾(公寓住宅)",120.26462043375608,30.437843587353477,17033,152,89.24,3,6,南,9.0
151,"余杭五常高教路,近天目山西路翡翠城(西南区)",120.01308804091471,30.24285922130249,35272,313,88.74,3,6,南,9.0
152,余杭勾庄良运街万象城幸福里,120.10695834001395,30.354368865663485,33870,303,89.46,3,6,南,2.0
153,上城火车东站新风路318号红街公寓,120.20195255923605,30.296545121086204,29385,250,85.08,2,5,南,12.0
154,"滨江区政府扬帆路,近丹枫路龙湖春江彼岸",120.20708078698351,30.21123287639078,64195,1030,160.45,4,8,南,9.0
155,滨江长河平安路72号南岸晶都花园,120.19066839388313,30.1808821907552,32297,430,133.14,3,7,南北,15.0
156,"萧山新街北塘东路,近香樟路碧秀名庭",120.32492767658339,30.19243293073337,24944,220,88.2,3,6,南,5.0
157,余杭老余杭凤新路199号圆乡名筑,119.93832804891673,30.263679071479064,25704,223,86.76,3,6,南,11.0
158,"西湖转塘科海路,近青蓝路中梁云都汇(公寓住宅)",120.08560296041124,30.13984125151614,26867,240,89.33,3,6,南,3.0
159,临安临安城区苕溪南街敏捷星著柏悦府,119.69074146003996,30.234084448059015,13206,118,89.36,3,7,南,1.0
160,临平临平北北沙西路28号中铁逸都,120.28657878648296,30.4398987889728,18184,162,89.09,3,6,南,10.0
161,临平临平东湖南路285号凤仪家园,120.30688422747798,30.41289573474564,14207,175,123.18,3,7,南,24.0
162,拱墅万达广场石祥路天阅云合源,120.13109516512502,30.336763476884183,39541,365,92.31,3,6,南,2.0
163,西湖学军文三路108号文锦苑,120.13948279715254,30.281833697044494,64801,750,115.74,3,7,南,21.0
164,"临平崇贤丽水北路,近崇杭街旭辉运河悦章",120.130639242208,30.383683798907207,23966,209,87.21,3,7,南,5.0
165,滨江浦沿滨文路646号浙新小区,120.13776909586201,30.17412990875766,27786,290,104.37,3,6,南,24.0
166,临平塘栖香岸路香岸华庭(公寓住宅),120.23255147833181,30.445301285863895,20539,258,125.62,4,8,南,3.0
167,拱墅塘河莫干山路314号墅林苑,120.13830172154734,30.29550453314176,30693,380,123.81,3,7,南,24.0
168,"余杭余杭三墩古墩路,近通济路亲亲家园三期",120.07901309319314,30.337805541913678,23329,315,135.03,4,8,南,16.0
169,"萧山义桥时代大道,近纬一路万科江湾城",120.18327351747782,30.089057785432278,20421,175,85.7,3,6,南,7.0
170,萧山开发区庆丰路拥涛府,120.26484215076141,30.201497821901903,39047,380,97.32,3,7,南,2.0
171,"临平塘栖兴元路,近望梅路杭辰星万里",120.21706114582658,30.461753133372145,18277,175,95.75,3,7,南,3.0
172,钱塘金沙湖下沙路徳嘉金沙阳光,120.3299892757425,30.30467500561262,22963,200,87.1,2,5,南,13.0
173,钱塘金沙湖学源街1273号铭和苑柳翠坊,120.3286996545715,30.32063580032687,20227,180,88.99,2,5,南,18.0
174,"临平临平北顺达路,近北沙西路顺达花苑西区",120.27055177128301,30.435402287848582,15335,123,80.21,2,5,南,20.0
175,滨江浦沿滨文路670号万科璞悦湾,120.13242316052776,30.172762019684892,41086,365,88.84,3,6,南,8.0
176,钱塘金沙湖华景街383号龙湖滟澜山(茗轩),120.32245718311196,30.3149354908825,34265,465,135.71,3,7,东南,13.0
177,上城丁桥环丁路328号阳光逸城,120.23338889649722,30.35226339639329,19437,120,61.74,2,5,南,12.0
178,临平崇贤崇文街赞成杭家,120.16789346324774,30.381130864790688,19042,170,89.28,3,7,南,8.0
179,临平乔司杭海路1636号复地连城国际,120.28414795212865,30.337698991318266,20930,186,88.87,3,6,南,13.0
180,西湖松木场金祝西路松木场河东,120.14253077771012,30.27203487832022,63556,395,62.15,2,5,南,36.0
181,"余杭闲林圣地路,近天目山路绿城桃源小镇芳菲郡",119.96160899368395,30.22713777077879,20856,240,115.08,4,8,南,24.0
182,"滨江西兴西兴路,近滨盛路滨江金茂府",120.21426265330471,30.218946974757376,73795,900,121.96,3,7,南,5.0
183,萧山开发区振宁路顺发美颂城,120.28274788020676,30.215730547557634,27440,273,99.49,3,7,南,1.0
184,萧山开发区建设二路潮起云上府,120.26697326169742,30.200169490534492,39010,378,96.9,3,7,南,1.0
185,滨江区政府西兴路1190号湘云雅苑,120.22689769466538,30.199022309284313,29153,360,123.49,4,6,南,12.0
186,上城丁桥建塘路沐春明月,120.21028824328423,30.350828389526793,37269,478,128.26,4,8,南,1.0
187,临平临平北长宁路汀洲印月,120.27774272607245,30.449987100426046,19857,194,97.7,3,7,南,1.0
188,"萧山城厢彩虹大道,近西兴路金地滨江万科悦虹湾(公寓住宅)",120.22321412408829,30.172246594634085,38909,495,127.22,4,8,西南,3.0
189,拱墅康桥金昌路河语光年府,120.13398600472621,30.34851901820816,41254,445,107.87,3,7,南,1.0
190,"临平乔司乔中路,近南街朗诗花漫里",120.2767684607187,30.34812340702943,25839,215,83.21,3,6,南,8.0
191,"余杭未来科技城文胜路,近电子路合景叠彩园(公寓住宅)",120.01407406998834,30.283159896785186,36962,325,87.93,3,7,南,8.0
192,上城笕桥机场路355号万科公园大道,120.21049008337803,30.313628979058556,37301,330,88.47,3,6,南,8.0
193,滨江区政府飞虹路杭州壹号院(公寓住宅),120.22878233006077,30.224716088956537,90450,1200,132.67,4,8,南,4.0
194,拱墅汽车北站短浜路荣安春月杭宁府,120.10820296985639,30.321923475301073,54229,640,118.02,4,8,南,2.0
195,拱墅湖墅湖墅南路66号武林壹号,120.15365631754172,30.28041316577821,119507,5300,443.49,6,10,南北,9.0
196,临平临平星河南路理想臻品,120.28671731918217,30.402754035506305,31457,475,151,4,8,南,1.0
197,"西湖西湖三墩甲来路,近杭长高速中国铁建西湖国际城",120.06049830193733,30.33540356058177,35172,310,88.14,3,7,南,10.0
198,"临平临平北振兴西路,近星河路绿城蓝庭(东区)",120.26915650881809,30.43069801629203,17829,155,86.94,3,7,南,15.0
199,"钱塘下沙江湾24号大街,近19号大街金隅观澜时代天筑(公寓住宅)",120.04822425244505,30.241832500900532,18922,166,87.73,3,5,南,11.0
200,"滨江长河滨文路,近时代大道万科城市之光",120.17764067755174,30.174360492312285,39812,355,89.17,3,7,南北,7.0
201,上城九堡客运站金堡街294号蓝桥名苑,120.27175691873065,30.305745177807196,22012,160,72.69,2,4,南,15.0
202,西湖黄龙浙大路18号浙大求是村,120.12493118158079,30.26532269893411,53177,380,71.46,3,5,南,36.0
203,"余杭余杭三墩古墩路,近董家路亲亲家园一期",120.08544896785045,30.33771088324323,23208,290,124.96,3,7,南,19.0
204,"临平临平北振兴路,近顺达路莱茵知己(公寓住宅)",120.27418763390844,30.429519328354335,20893,178,85.2,3,6,南,9.0
205,余杭闲林东西大道庭院深深(东区),119.95598167956952,30.245566908186888,16594,139,83.77,2,5,南,11.0
206,"上城丁桥同协路,近大农港路汀宸府",120.21046114121327,30.35421981435974,40434,358,88.54,3,7,南,5.0
207,拱墅东新东新路800号滨江万家星城(西区),120.17028085982328,30.32736793971563,40421,358,88.57,3,6,南,13.0
208,"拱墅汽车北站莫干山路,近留祥路雍荣华庭",120.0990606298382,30.321722476948672,42274,380,89.89,3,7,南,8.0
209,萧山开发区建设三路滨江悦潮府,120.27580433249909,30.20516942342763,33334,320,96,3,7,南,2.0
210,滨江钱江湾新和路167号观邸国际,120.12886706249193,30.18359108201849,39725,520,130.9,3,7,南,16.0
211,临平星桥太平路93号惠都家园(东区),120.26385623054891,30.40008248371627,14335,118,82.32,2,5,南,13.0
212,拱墅拱宸桥石祥路239号中国铁建国际城(公寓住宅),120.15701228013332,30.33302997073674,45698,385,84.25,3,6,南,10.0
213,上城艮北新城红普路潮听明月,120.24759488438144,30.303472341783063,50520,700,138.56,4,8,南,1.0
214,"萧山开发区风情大道,近建设三路龙湖春江悦茗",120.23243779756541,30.209268625422467,40486,330,81.51,3,6,南,7.0
215,余杭仁和和平路59号仁惠家园,120.08602364598445,30.443161720625945,15743,145,92.11,3,6,南,24.0
216,"滨江区政府滨盛路,近江陵路中海寰宇天下C区",120.20952088047038,30.218086823219235,47641,425,89.21,3,6,南北,10.0
217,拱墅万达广场候圣街云澜天第府,120.1343007040692,30.34628386434329,38820,530,136.53,4,8,南,1.0
218,"临平乔司迎宾路,近羊头坝绿地艺尚府",120.30550162326526,30.367176720909953,22646,202,89.2,3,7,南,4.0
219,"萧山开发区博奥路,近建设四路龙湖春江天玺(公寓住宅)",120.23565408048769,30.21333638756584,40242,360,89.46,4,7,南,5.0
220,"钱塘金沙湖学林街,近海达南路名城湖左岸",120.32228469434573,30.31675060276178,37837,340,89.86,3,7,南,12.0
221,上城笕桥机场路355号万科草庄,120.21368693965032,30.31183119217399,42539,370,86.98,3,6,南,10.0
222,拱墅朝晖文晖路183号广厦绿洲花园(公寓住宅),120.1677155917978,30.28287276184258,45392,460,101.34,2,6,南,18.0
