,ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
99,100,昌平北七家卓兴路5号翡翠公园(卓兴路5号院),116.41963948383045,40.102226316147686,57715,560.0,97.03,3,7,南北,2.0
100,101,昌平沙河高教园北一街北街家园一区,116.25999200344478,40.16227170879287,43753,389.0,88.91,3,5,南,18.0
101,102,朝阳朝阳公园东三环农展馆路枣营北里,116.46065911333551,39.93616046044102,71701,470.0,65.55,2,4,西北,32.0
102,103,朝阳团结湖姚家园路白家庄东里,116.45873159016772,39.92871361244797,68309,538.0,78.76,3,5,南北,32.0
103,104,东城龙潭湖龙潭北里八条龙潭北里八条,116.4305742103634,39.88165399420953,85889,549.0,63.92,2,4,南,64.0
104,105,海淀四季青彰化南路裕泽园,116.28694721537993,39.934835923976316,69692,450.0,64.57,1,3,东,20.0
105,106,朝阳和平街和平里西街和平街西苑,116.41122396884062,39.96267555909515,66194,588.0,88.83,3,5,南北,27.0
106,107,丰台六里桥莲怡园北路莲怡园二区,116.29292014952465,39.88409901334274,49439,480.0,97.09,2,4,南北,20.0
107,108,西城广安门外红居街远见名苑(一期),116.33193757442756,39.88439862462664,99676,430.0,43.14,1,3,北,19.0
108,109,朝阳花家地北四环东路甲9号方舟苑,116.45632823339791,39.97763991783375,60466,598.0,98.9,2,5,东北,26.0
109,110,西城广安门外车站东街15号车站东街15号院,116.3392048814743,39.88055368465573,87948,440.0,50.03,2,4,南,44.0
110,111,朝阳亚运村慧忠北路安慧北里秀园,116.40427098853212,39.999415589390146,84272,629.0,74.64,3,5,南北,32.0
111,112,丰台和义久敬庄路久敬佳园,116.40219864708466,39.8182406021315,45412,430.0,94.69,2,5,南北,18.0
112,113,朝阳媒体村双营路天居园,116.40729641292968,40.03717092115673,56239,499.0,88.73,2,4,西北,17.0
113,114,朝阳朝青板块朝阳北路青年路小区(雅成一里),116.51776436198405,39.923824805139056,68312,479.0,70.12,2,4,南北,24.0
114,115,朝阳十里堡朝阳路海华堂,116.49662693740308,39.91770966044948,63334,570.0,90.0,2,4,东南,16.0
115,116,丰台草桥草桥西路12号草桥欣园(四区),116.34708269575124,39.84186385076215,58648,509.0,86.79,2,4,南北,17.0
116,117,朝阳劲松南磨房路农光东里,116.46332924178593,39.88084151299786,59758,365.0,61.08,2,4,东南,31.0
117,118,西城车公庄北礼士路54号北礼士路54号院,116.34730573659138,39.93420557344453,101031,490.0,48.5,2,4,东西,47.0
118,119,朝阳安贞健安东路安贞里(一区),116.39868050035814,39.97381533501078,75057,399.0,53.16,2,4,南北,38.0
119,120,朝阳常营常营中路6号北辰福第(南区),116.59523178413741,39.92666975103508,58916,489.0,83.0,2,4,南,14.0
120,121,通州马驹桥景盛北二街3号融科香雪兰溪,116.5325434974294,39.74303211103245,34228,305.0,89.11,3,6,南北,12.0
121,122,海淀清河永泰庄北路怡清园小区,116.35453067327178,40.03596419025687,69094,598.0,86.55,2,4,南北,20.0
122,123,海淀永定路玉泉路玉海园二里,116.2481770058286,39.91877793977678,61398,536.0,87.3,2,4,西南,27.0
