ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
123,"静海团泊镇太湖路,近常海道梧桐公社(南里)",117.08452119624721,38.97438827325164,12929,126,97.46,3,2,1,南北,6.0,0,满五年,中层,11.0,1,0,5,10,2
124,北辰宜兴埠万科花园路万科新城铃兰苑,117.2034827260085,39.207345593173144,13642,128,93.83,2,1,1,南,24.0,1,满五年,低层,6.0,2,0,4,10,10
125,"塘沽工农村街云山道,近海川路金海云城芯云园",117.61337247115064,39.068739335982485,13356,135,101.08,3,2,2,南北,2.0,0,,低层,18.0,0,1,0,1,1
126,滨海新区滨海城区华山道中交春风海上,117.6167311072485,39.085439875014174,12289,145,118,3,2,2,南北,3.0,1,,低层,11.0,2,1,0,2,1
127,武清杨村街光明道中建壹方九里宸澜华庭,116.98024251870267,39.40416534139198,14000,112,80,2,2,1,南,2.0,0,满二年,低层,11.0,0,0,2,3,3
128,滨海新区中新生态城中天大道众美青城,117.73158617186932,39.115886512047275,15248,133,87.23,2,2,1,南北,4.0,0,满二年,低层,9.0,0,4,0,7,10
129,滨海新区中新生态城中天大道旭辉陆号院,117.76167022530771,39.12594133913588,18868,230,121.9,3,2,2,南北,4.0,0,满二年,高层,11.0,1,4,10,10,10
130,津南双港微山南路华润中央公园香薇邸,117.28728357756985,39.00662981461954,12681,123,97,3,2,1,南,11.0,1,满五年,高层,32.0,0,0,0,5,10
131,北辰双街镇小街新苑路融创东岸名郡,117.08634624313615,39.30350071826602,8847,105,118.69,3,2,1,南,3.0,0,满五年,中层,32.0,0,0,1,0,1
132,"塘沽工农村街厦门路,近云山道融科贻锦台",117.64405350790231,39.06270899688718,13132,130,99,2,1,1,南北,13.0,0,满五年,低层,31.0,0,0,9,10,10
133,滨海新区滨海城区旭升路万科滨海大都会观澜轩,117.67575192818384,39.01063953685774,20161,181,89.78,2,2,2,南北,1.0,1,满五年,中层,17.0,1,5,5,10,10
134,"滨海新区中新生态城华三路,近中天大道宸和园",117.73158617186932,39.115886512047275,15618,139,89,2,2,1,南,4.0,0,满二年,低层,33.0,0,4,0,7,10
135,和平劝业场长春道140号华润紫阳里,117.19245164418935,39.12449366925135,35092,149,42.46,1,1,1,西北,9.0,1,满二年,高层,15.0,6,3,10,10,10
136,北辰普东街普济河东道万达新城普旺里,117.19465948673299,39.198706960240386,13042,125,95.85,2,2,1,南,24.0,1,满五年,低层,6.0,0,2,5,10,10
137,"滨海新区滨海城区津同道,近金光路中建城澜和湾",117.6011305830535,38.98458853833347,10092,97,96.12,3,2,1,南北,3.0,0,满五年,高层,9.0,0,0,0,10,1
138,津南双港领世环路红磡领世郡普泰花园,117.26762250011556,39.018843602843454,9861,83,84.17,2,1,1,南北,15.0,1,,中层,18.0,0,0,1,5,10
139,滨海新区中新生态城海晨道宝龙城北苑,117.7564414150037,39.09745758734206,12057,108,89.58,3,2,1,南北,9.0,0,满五年,高层,11.0,0,2,0,0,2
140,塘沽工农村街黄山道吾悦华邸(滨海),117.63184213168523,39.073649102485426,10741,116,108,3,2,2,南北,4.0,0,满二年,低层,29.0,2,0,2,10,10
141,武清杨村街雍顺道蒲瑞馨园(南区),116.99640892576365,39.3961378108763,10427,102,97.83,2,2,1,南,13.0,0,满二年,低层,15.0,0,0,2,10,10
142,滨海新区滨海城区云山道振业御湖,117.61530403982138,39.06978281861432,14352,155,108,3,2,2,南北,1.0,0,,低层,18.0,0,1,2,4,3
143,"大港古林街港东八道,近海景七路福源花园",117.48861470466234,38.853100235256264,10010,93.5,93.41,2,1,1,南,14.0,0,满二年,高层,18.0,0,0,10,10,10
144,北辰天穆南仓道金侨宸公馆(二期),117.15090073165713,39.20972274781713,14048,118,84,2,1,1,南,3.0,0,,高层,22.0,2,0,9,10,10
145,"东丽空港经济区东七道,近中环东路津悦华庭",117.40860460904328,39.145831802264446,15857,149.1,94.03,2,2,1,南北,8.0,0,,高层,13.0,0,0,6,10,10
146,塘沽北塘街嘉顺路欣平苑,117.63870667705606,39.13149769376574,8978,79,88,3,2,1,南北,17.0,0,满五年,低层,18.0,1,0,10,10,10
147,北辰天穆京津公路252号万隆桃香园,117.09932581052807,39.259946082506104,8472,81,95.61,2,1,1,南,24.0,0,满五年,高层,7.0,0,0,0,1,10
148,河东上杭路津滨大道第六大道大洋嘉园,117.26368484253594,39.113150871588466,17911,245,136.79,3,2,1,南,20.0,1,,中层,6.0,1,3,10,10,10
149,津南双港微山南路富力桃园天富园,117.26559811006564,39.031863003662195,12223,110,90,2,2,1,南,14.0,1,满五年,低层,28.0,0,0,0,0,10
150,"西青中北中北大道,近星光路万科假日风景",117.07364769721111,39.12143592473556,16642,145,87.13,2,2,1,南北,15.0,0,,高层,11.0,0,0,4,10,10
151,西青张家窝京福支线香锦园,117.03984202696292,39.060632427875056,12195,165,135.31,3,2,2,南,6.0,0,满二年,高层,18.0,0,2,4,10,10
152,滨海新区中新生态城海博道碧桂园滨海城,117.75988302851474,39.11217962618233,10632,101,95,3,2,1,南,18.0,0,满二年,中层,15.0,1,3,1,10,10
153,东丽东丽湖东丽湖路1号金融街听湖小镇,117.7149317031996,39.02950501628404,9486,88,92.77,3,2,2,南北,6.0,0,满五年,中层,7.0,1,0,10,10,10
154,河北月牙河街上江路泉江里小区,117.25472032767243,39.167358912584376,15457,109,70.52,2,1,1,南北,21.0,1,满五年,低层,6.0,2,4,10,10,10
155,东丽东丽湖纬二道复地林与里玖邻花园,117.45688446419814,39.152091365620585,14145,116,82.01,2,2,1,南,3.0,0,,低层,8.0,1,0,0,0,1
156,河北王串场街真理道32号焕玉里,117.22680781157386,39.14916565753593,18431,148,80.3,2,2,1,南北,28.0,1,满五年,低层,7.0,1,0,10,9,10
157,塘沽杭州道街河北路2567号美景园,117.65759042882559,39.034941707239284,14000,168,120,3,2,1,南北,24.0,1,满五年,中层,6.0,1,0,10,10,10
158,北辰果园新村果园东路双发温泉花园(西区),117.12827426860964,39.22050104018349,11447,140,122.31,2,2,2,南,26.0,0,满五年,低层,7.0,1,0,3,10,10
159,武清下朱庄街嘉河道碧溪春园,117.08684452594603,39.336284263880934,9190,85,92.5,3,2,1,南北,12.0,0,满五年,,5.0,0,1,5,10,10
160,静海团泊镇健康大道海熙府,117.06700594190482,38.971320432151934,12400,155,125,3,2,2,南北,5.0,0,满二年,中层,7.0,0,0,6,8,10
161,滨海新区中新生态城中生大道雅居乐滨河雅郡北岛雅苑,117.74341546752171,39.16182211413456,8090,72,89,3,2,1,南北,1.0,0,,中层,9.0,0,0,1,4,10
