ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
1520,通州乔庄梨园北街玉桥南里(南区),116.67973542135533,39.8868651617355,31527,228,72.32,2,1,1,南北,25.0,0,满五年,高层,6.0,2,1,7,10,10
1521,通州次渠经海七路定海园三里,116.55930593737405,39.79585907136374,38832,299,77,1,1,1,南北,15.0,1,满五年,高层,11.0,1,0,0,10,10
1522,昌平回龙观黄平路龙博苑(三区),116.3387331673387,40.06521928891145,37692,290,76.94,1,1,1,南北,19.0,1,满五年,高层,6.0,0,1,8,10,10
1523,朝阳东大桥向军北里28号圣世一品,116.45273122992356,39.92435529104748,75415,2100,278.46,4,2,3,南北,14.0,1,满五年,中层,22.0,5,2,10,10,10
1524,顺义后沙峪安庆大街4号宝龙国际公寓,116.54459584112703,40.09474761915268,27273,150,55,3,2,2,南北,6.0,1,满五年,低层,18.0,0,0,4,10,10
1525,丰台大红门马家堡东路189号福海棠华苑,116.38003010579988,39.832009925129974,64493,890,138,3,2,2,南北,10.0,1,满五年,中层,15.0,0,1,4,10,10
1526,通州玉桥玉桥东路京艺天朗嘉园,116.68059927545491,39.89003257887948,43943,350,79.65,2,1,1,南,18.0,0,满五年,中层,11.0,1,0,10,10,10
1527,顺义机场小天竺一街南竺园,116.58661424628762,40.040825675010794,28375,227,80,2,1,1,南北,23.0,0,满五年,高层,6.0,0,0,1,0,1
1528,通州武夷花园通胡大街3号武夷花园紫荆园,116.69682672960388,39.91783815250062,44478,273,61.38,1,1,1,南北,18.0,0,满五年,中层,12.0,2,0,10,10,10
1529,昌平昌平县城西环路北环里小区,116.2219504703699,40.22630028257415,28909,345,119.34,3,2,2,南北,19.0,1,,高层,6.0,0,0,10,10,10
