ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,busAround,schoolAround,shopping_mallAround
15,岳麓银盆岭岳麓大道保利天禧(D区),112.9536881079556,28.22705886758314,14964,139,92.89,3,2,1,南,4.0,1,满二年,低层,46.0,2,2,10,10,10
16,望城望城新区政府普瑞大道与沿河路交汇处澳海望洲府(新房),112.84485139095425,28.296389534697784,6989,124,177.44,5,3,2,南,,0,,,,0,0,10,8,10
17,岳麓梅溪湖北东方红南路369号梅溪鑫苑名家,112.8594533294405,28.192637375830156,11609,105,90.45,3,2,1,南北,6.0,1,满五年,高层,33.0,1,0,10,6,10
18,雨花体育新城劳动东路1299号万科魅力之城,113.06156945407238,28.16323281802059,12659,135,106.65,3,2,2,东,11.0,1,满五年,高层,34.0,2,1,10,8,10
19,岳麓洋湖湿地公园虹山路与潇湘南大道交汇处保利长交锦上,112.92232523185505,28.12961884091196,12477,131,105,3,2,2,南,,0,,,,0,4,10,2,10
20,雨花时代阳光大道万家丽南路一段226号恒生碧水龙庭,113.02797697303492,28.090357023595363,12978,108,83.22,3,2,1,南北,11.0,1,,低层,24.0,2,1,10,10,10
21,岳麓洋湖湿地公园福祥路109号北大资源理想家园,112.93988817496223,28.126994504416228,12286,110,89.54,3,2,1,南,7.0,0,,低层,20.0,1,3,10,3,10
22,望城金星北月亮岛街道盛腾路33号（银星路与盛腾路交叉口）乐万邦·康桥悦城,112.9229485715886,28.283673321564216,11479,125,108.9,3,2,2,南,,0,,,,0,1,10,10,10
23,岳麓梅溪湖南梅溪湖路276号梅溪湖金茂湾(一期),112.87784052477778,28.181348491591937,13825,195.8,141.63,4,2,2,南北,6.0,1,满五年,中层,46.0,2,0,10,3,3
24,开福湘江世纪城湘江北路湘江世纪城咏江苑,112.97305973922425,28.263124694229052,10614,105,98.93,3,2,1,南北,13.0,0,,低层,33.0,1,1,8,0,2
25,望城月亮岛月亮岛路越秀湘江星汇城(一期),112.92580119920056,28.2939057507156,11390,158,138.72,4,2,2,东南,5.0,1,,高层,18.0,3,0,10,10,10
26,岳麓市政府谷丰南路419号湘腾琴岛,112.92121377616492,28.21873180973727,13125,109,83.05,3,2,1,南北,6.0,1,,高层,30.0,2,1,10,10,10
27,长沙县长沙县周边福元路与山月路交汇处保利开福双盘和光北中心,113.27851221811,28.111548087042298,11575,125,108,3,2,2,南,,0,,,,0,0,0,0,1
28,岳麓洋湖湿地公园长湾路36号奥克斯滨仕花园,112.94121886441825,28.134988344234877,12427,145,116.69,3,2,2,南,7.0,1,满五年,高层,30.0,0,3,10,10,10
29,雨花体育新城万家丽中路2段345号金石雅苑,113.0282240247687,28.14834588223698,10117,132,130.48,3,2,2,南北,10.0,1,,高层,30.0,0,3,10,10,10
30,开福广电中心星沙联络线与万家丽路交汇处日盛湖湘悦府(新房),113.03611542910689,28.28640033563915,9483,110,116,3,2,2,南,,0,,,,0,1,5,1,10
