ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
120,黄埔知识城美满街12号万科幸福誉,113.535096296279,23.333758801774135,21124,205.0,97.05,3,7,南,8.0,1,,低层,34.0
121,白云金沙洲环洲三路中海金沙馨园,113.2000191854555,23.150929516285927,26446,258.0,97.56,3,7,南北,15.0,1,,低层,18.0
122,天河粤垦粤垦路侨源山庄,113.32505616597494,23.156396696984903,38555,320.0,83.0,3,6,南,22.0,1,满五年,中层,15.0
123,黄埔文冲黄埔东路808号文苑花园(黄埔),113.45977213701347,23.100511848894083,13462,105.0,78.0,3,7,南,12.0,1,满五年,中层,12.0
124,天河岗顶石牌西路海关石牌宿舍,113.33138503642064,23.131513142197303,58408,660.0,113.0,3,7,南,24.0,0,,中层,13.0
125,黄埔香雪开源大道22号中央城,113.4946886248714,23.15551619935132,25000,200.0,80.0,3,7,东南,4.0,0,满二年,低层,32.0
126,天河天河智慧城华旭街万科云城米酷,113.32558636326844,23.13969039096336,19180,50.0,26.07,2,5,南北,9.0,1,,中层,15.0
127,越秀小北小北路202号仁安新街大院,113.26726158023412,23.13942371937116,49550,528.0,106.56,3,7,南北,21.0,0,,低层,9.0
128,花都镜湖大道广花路自由人花园,113.21941660802788,23.34674221680707,15673,155.0,98.9,3,7,南,10.0,0,满五年,中层,32.0
129,天河岗顶石牌西横街6-2号东园小区,113.33148399010196,23.13387863733428,38909,365.0,93.81,3,6,南北,31.0,1,满五年,高层,8.0
130,荔湾桥中坦尾南路27号万科柏悦湾,113.2180294423054,23.12104284857986,44802,455.0,101.56,3,7,南,16.0,1,,中层,23.0
131,海珠东晓南文华街64号晓港湾,113.28864544406528,23.07236310151742,28494,208.0,73.0,3,6,西南,27.0,1,,高层,9.0
132,黄埔开发东区黄埔东路佳兆业未来城,113.53712218644996,23.10701692482001,10427,103.0,98.79,3,7,南北,9.0,1,满五年,中层,24.0
133,黄埔永和开发区长岭路万科山景城,113.5193971358664,23.213750465776315,28003,235.0,83.92,3,6,南,9.0,0,,高层,35.0
134,番禺南站石北工业路品秀星瀚,113.26324992349664,23.01510406866337,27706,235.0,84.82,3,6,南,12.0,1,,中层,45.0
135,天河长兴美景街18号乐意居花苑,113.35055245809788,23.17123736504937,37292,358.0,96.0,3,7,南北,22.0,1,满五年,高层,9.0
